"NIH Spending Categorization","Project Terms","Project Title","Administering IC","Application ID","Award Notice Date","FOA","Project Number","Type","Activity","IC","Serial Number","Support Year","Suffix","Program Official Information","Project Start Date","Project End Date","Study Section","Subproject Number","Contact PI Person ID","Contact PI / Project Leader","Other PI or Project Leader(s)","Congressional District","Department","DUNS Number","FIPS","Latitude","Longitude","Organization ID (IPF)","Organization Name","Organization City","Organization State","Organization Type","Organization Zip","Organization Country","ARRA Indicator","Budget Start Date","Budget End Date","CFDA Code","Funding Mechanism","Fiscal Year","Total Cost","Total Cost (Sub Projects)","Funding IC(s)","Direct Cost IC","InDirect Cost IC","NIH COVID-19 Response","Total Cost IC",
"No NIH Category available"," ","Pacific Northwest Agricultural Safety and Health Center","NIOSH","7446096","6/19/2008 12:00:00 AM","PAR-06-057","5U50OH007544-08","5","U50","OH","007544","08"," ","ROBISON, WILLIAM","9/30/2006 12:00:00 AM","9/29/2011 12:00:00 AM","ZOH1-SBO(53)R"," ","6189431","FENSKE, RICHARD ARNOLD","Not Applicable","07","PUBLIC HEALTH & PREV MEDICINE","605799469","US","47.660049","-122.31441","9087701","UNIVERSITY OF WASHINGTON","SEATTLE","WA","SCHOOLS OF PUBLIC HEALTH","981959472","UNITED STATES","N","9/30/2008 12:00:00 AM","9/29/2009 12:00:00 AM","262","Other Research-Related","2008","1387258"," ","NIOSH"," "," "," ","1387258",
"No NIH Category available"," ","Pacific Northwest Agricultural Safety and Health Center-Renewal","NIOSH","8331996","7/26/2012 12:00:00 AM","PAR-11-022","5U54OH007544-12","5","U54","OH","007544","12"," ","ROBISON, WILLIAM","9/30/2011 12:00:00 AM","9/29/2016 12:00:00 AM","ZOH1-EEO(51)R"," ","6189431","FENSKE, RICHARD ARNOLD","Not Applicable","07","PUBLIC HEALTH & PREV MEDICINE","605799469","US","47.660049","-122.31441","9087701","UNIVERSITY OF WASHINGTON","SEATTLE","WA","SCHOOLS OF PUBLIC HEALTH","981959472","UNITED STATES","N","9/30/2012 12:00:00 AM","9/29/2013 12:00:00 AM","262","Research Centers","2012","1548535"," ","NIOSH","1235299","589717"," ","1548535",
"No NIH Category available"," ","Pacific Northwest Agricultural Safety and Health Center-Renewal","NIOSH","8517477","8/22/2013 12:00:00 AM","PAR-11-022","5U54OH007544-13","5","U54","OH","007544","13"," ","ROBISON, WILLIAM","9/30/2011 12:00:00 AM","9/29/2016 12:00:00 AM","ZOH1-EEO(51)R"," ","6189431","FENSKE, RICHARD ARNOLD","Not Applicable","07","PUBLIC HEALTH & PREV MEDICINE","605799469","US","47.660049","-122.31441","9087701","UNIVERSITY OF WASHINGTON","SEATTLE","WA","SCHOOLS OF PUBLIC HEALTH","981959472","UNITED STATES","N","9/30/2013 12:00:00 AM","9/29/2014 12:00:00 AM","262","Research Centers","2013","1467348"," ","NIOSH","1213368","575871"," ","1467348",
"No NIH Category available"," ","Pacific Northwest Agricultural Safety and Health Center (PNASH): Pilot / Feasibility","NIOSH","9544710","6/25/2018 12:00:00 AM","PAR-15-353","5U54OH007544-18","5","U54","OH","007544","18"," ","DEARWENT, STEVE","9/30/2016 12:00:00 AM","9/29/2021 12:00:00 AM","ZOH1-EHG(01)"," ","6189431","FENSKE, RICHARD ARNOLD","Not Applicable","07","PUBLIC HEALTH & PREV MEDICINE","605799469","US","47.660049","-122.31441","9087701","UNIVERSITY OF WASHINGTON","SEATTLE","WA","SCHOOLS OF PUBLIC HEALTH","981959472","UNITED STATES","N","9/30/2018 12:00:00 AM","9/29/2019 12:00:00 AM","262","Research Centers","2018","1947394"," ","NIOSH"," "," "," ","1947394",
"No NIH Category available"," ","2008 WESTERN ARGICULTURAL CONFERENCE","NIOSH","7409453","4/24/2008 12:00:00 AM","PAR-06-014","1R13OH009345-01","1","R13","OH","009345","01"," ","BOARD, SUSAN","4/27/2008 12:00:00 AM","4/26/2009 12:00:00 AM","SOH"," ","6189431","FENSKE, RICHARD ARNOLD","Not Applicable","07","PUBLIC HEALTH & PREV MEDICINE","605799469","US","47.660049","-122.31441","9087701","UNIVERSITY OF WASHINGTON","SEATTLE","WA","SCHOOLS OF PUBLIC HEALTH","981959472","UNITED STATES","N","4/27/2008 12:00:00 AM","4/26/2009 12:00:00 AM","262","Other Research-Related","2008","46800"," ","NIOSH"," "," "," ","46800",
"No NIH Category available"," ","Pacific Northwest Agricultural Safety and Health Center","NIOSH","7570317","2/21/2008 12:00:00 AM","PAR-06-057","3U50OH007544-07S2","3","U50","OH","007544","07","S","ROBISON, WILLIAM","9/30/2006 12:00:00 AM","9/29/2011 12:00:00 AM","ZOH1-SBO(53)R"," ","6189431","FENSKE, RICHARD ARNOLD","Not Applicable","07","PUBLIC HEALTH & PREV MEDICINE","605799469","US","47.660049","-122.31441","9087701","UNIVERSITY OF WASHINGTON","SEATTLE","WA","SCHOOLS OF PUBLIC HEALTH","981959472","UNITED STATES","N","9/30/2007 12:00:00 AM","9/29/2008 12:00:00 AM","262","Other Research-Related","2008","6720"," ","NIOSH"," "," "," ","6720",
"No NIH Category available"," ","Pacific Northwest Agricultural Safety and Health Center","NIOSH","7193105","8/29/2006 12:00:00 AM","PAR-06-057","2U50OH007544-06","2","U50","OH","007544","06"," ","ROBISON, WILLIAM","9/30/2006 12:00:00 AM","9/29/2011 12:00:00 AM","ZOH1-SBO(53)R"," ","6189431","FENSKE, RICHARD ARNOLD","Not Applicable","07","PUBLIC HEALTH & PREV MEDICINE","605799469","US","47.660049","-122.31441","9087701","UNIVERSITY OF WASHINGTON","SEATTLE","WA","SCHOOLS OF PUBLIC HEALTH","981959472","UNITED STATES","N","9/30/2006 12:00:00 AM","9/29/2007 12:00:00 AM","262","Other Research-Related","2006","1377583"," ","NIOSH"," "," "," ","1377583",
"No NIH Category available"," ","Tennessee Occupational Health and Safety Surveillance Program","NIOSH","8927837","9/1/2015 12:00:00 AM","PAR-14-275","1U60OH010903-01","1","U60","OH","010903","01"," ","INSERRA, STEVE","7/1/2015 12:00:00 AM","6/30/2020 12:00:00 AM","ZOH1-GGB(52)"," ","12392006","FERRANTI, LORI ","Not Applicable","05","Unavailable","172636268","US","36.16745","-86.785647","8246001","TENNESSEE STATE DEPARTMENT OF HEALTH","NASHVILLE","TN","Other Domestic Non-Profits","372433400","UNITED STATES","N","7/1/2015 12:00:00 AM","6/30/2016 12:00:00 AM","262","Other","2015","129645"," ","NIOSH","116499","13146"," ","129645",
"No NIH Category available"," ","Tennessee Occupational Health and Safety Surveillance Program","NIOSH","9136676","6/7/2016 12:00:00 AM","PAR-14-275","5U60OH010903-02","5","U60","OH","010903","02"," ","INSERRA, STEVE","7/1/2015 12:00:00 AM","6/30/2020 12:00:00 AM","ZOH1-GGB(52)"," ","12392006","FERRANTI, LORI ","Not Applicable","05","Unavailable","172636268","US","36.16745","-86.785647","8246001","TENNESSEE STATE DEPARTMENT OF HEALTH","NASHVILLE","TN","Other Domestic Non-Profits","372433400","UNITED STATES","N","7/1/2016 12:00:00 AM","6/30/2017 12:00:00 AM","262","Other","2016","130303"," ","NIOSH","112258","18045"," ","130303",
"No NIH Category available"," ","A Pilot Test of the Relaxation Response Resiliency Program (3RP) in Spanish speaking World Trade Center Disaster Survivors with PTSD","NIOSH","8976971","7/10/2015 12:00:00 AM","PAR-12-126","1U01OH010996-01","1","U01","OH","010996","01"," ","KUBALE, TRAVIS","7/1/2015 12:00:00 AM","6/30/2017 12:00:00 AM","ZOH1-NXT(52)"," ","9408157","FERRI, LUCIA VICTORIA","GONZALEZ, ADAM ","12","PSYCHIATRY","121911077","US","40.744985","-73.978118","5998304","NEW YORK UNIVERSITY SCHOOL OF MEDICINE","NEW YORK","NY","SCHOOLS OF MEDICINE","10016","UNITED STATES","N","7/1/2015 12:00:00 AM","6/30/2017 12:00:00 AM","262","Non-SBIR/STTR","2015","500000"," ","NIOSH","351357","148643"," ","500000",
"No NIH Category available"," ","Voices of September 11th WTCHP Outreach Project","NIOSH","8509137","9/21/2012 12:00:00 AM","RFA-OH-12-1201","1E11OH010453-01","1","E11","OH","010453","01"," ","KUBALE, TRAVIS","9/1/2012 12:00:00 AM","8/31/2014 12:00:00 AM","ZOH1-NXT(50)"," ","11485800","FETCHET, FRANK ","Not Applicable","04","Unavailable","141426242","US"," "," ","10032201","VOICES OF SEPTEMBER 11TH, INC.","NEW CANAAN","CT","Other Domestic Non-Profits","068404827","UNITED STATES","N","9/1/2012 12:00:00 AM","8/31/2013 12:00:00 AM","262","Other","2012","149925"," ","NIOSH","133820","16105"," ","149925",
"No NIH Category available"," ","Voices of September 11th WTCHP Outreach Project","NIOSH","8549786","7/31/2013 12:00:00 AM","RFA-OH-12-1201","5E11OH010453-02","5","E11","OH","010453","02"," ","KUBALE, TRAVIS","9/1/2012 12:00:00 AM","2/28/2015 12:00:00 AM","ZOH1-NXT(50)"," ","11485800","FETCHET, FRANK ","Not Applicable","04","Unavailable","141426242","US"," "," ","10032201","VOICES OF SEPTEMBER 11TH, INC.","NEW CANAAN","CT","Other Domestic Non-Profits","068404827","UNITED STATES","N","9/1/2013 12:00:00 AM","2/28/2015 12:00:00 AM","262","Other","2013","305205"," ","NIOSH","316681","12916"," ","305205",
"No NIH Category available"," ","Lighting interventions to reduce circadian disruption in rotating shift workers","NIOSH","8957109","8/24/2015 12:00:00 AM","PAR-13-129","1R01OH010668-01A1","1","R01","OH","010668","01","A","LIOCE, MARIA","9/1/2015 12:00:00 AM","8/31/2019 12:00:00 AM","SOH"," ","8580385","FIGUEIRO, MARIANA GROSS","Not Applicable","20","MISCELLANEOUS","002430742","US","42.731447","-73.683872","6910301","RENSSELAER POLYTECHNIC INSTITUTE","TROY","NY","OTHER SPECIALIZED SCHOOLS","121803590","UNITED STATES","N","9/1/2015 12:00:00 AM","8/31/2016 12:00:00 AM","262","Non-SBIR/STTR","2015","546416"," ","NIOSH","347642","198774"," ","546416",
"No NIH Category available"," ","Lighting interventions to reduce circadian disruption in rotating shift workers","NIOSH","9131734","6/21/2016 12:00:00 AM","PAR-13-129","5R01OH010668-02","5","R01","OH","010668","02"," ","LIOCE, MARIA","9/1/2015 12:00:00 AM","8/31/2019 12:00:00 AM","SOH"," ","8580385","FIGUEIRO, MARIANA GROSS","Not Applicable","20","MISCELLANEOUS","002430742","US","42.731447","-73.683872","6910301","RENSSELAER POLYTECHNIC INSTITUTE","TROY","NY","OTHER SPECIALIZED SCHOOLS","121803590","UNITED STATES","N","9/1/2016 12:00:00 AM","8/31/2017 12:00:00 AM","262","Non-SBIR/STTR","2016","553111"," ","NIOSH","361343","191768"," ","553111",
"No NIH Category available"," ","Lighting interventions to reduce circadian disruption in rotating shift workers","NIOSH","9515574","7/23/2018 12:00:00 AM","PAR-13-129","5R01OH010668-04","5","R01","OH","010668","04"," ","LIOCE, MARIA","9/1/2015 12:00:00 AM","8/31/2019 12:00:00 AM","SOH"," ","8580385","FIGUEIRO, MARIANA GROSS","Not Applicable","20","MISCELLANEOUS","002430742","US","42.731447","-73.683872","6910301","RENSSELAER POLYTECHNIC INSTITUTE","TROY","NY","OTHER SPECIALIZED SCHOOLS","121803590","UNITED STATES","N","9/1/2018 12:00:00 AM","8/31/2019 12:00:00 AM","957","Non-SBIR/STTR","2018","566909"," ","NIOSH"," "," "," ","566909",
"No NIH Category available"," ","Lighting interventions to reduce circadian disruption in rotating shift workers","NIOSH","9302353","6/23/2017 12:00:00 AM","PAR-13-129","5R01OH010668-03","5","R01","OH","010668","03"," ","LIOCE, MARIA","9/1/2015 12:00:00 AM","8/31/2019 12:00:00 AM","SOH"," ","8580385","FIGUEIRO, MARIANA GROSS","Not Applicable","20","MISCELLANEOUS","002430742","US","42.731447","-73.683872","6910301","RENSSELAER POLYTECHNIC INSTITUTE","TROY","NY","OTHER SPECIALIZED SCHOOLS","121803590","UNITED STATES","N","9/1/2017 12:00:00 AM","8/31/2018 12:00:00 AM","262","Non-SBIR/STTR","2017","559941"," ","NIOSH","353418","206523"," ","559941",
"No NIH Category available"," ","M.S. Curricular Enhancement","NIOSH","9518448","6/21/2018 12:00:00 AM","PAR-15-352","5T03OH008402-13","5","T03","OH","008402","13"," "," ","7/1/2016 12:00:00 AM","6/30/2021 12:00:00 AM","ZOH1-DYB(03)"," ","14340519","FINDER, BRIAN JAMES","Not Applicable","03","ADMINISTRATION","802853403","US","44.875745","-91.929826","578512","UNIVERSITY OF WISCONSIN STOUT","MENOMONIE","WI","SCH OF BUSINESS/PUBLIC ADMIN","547513568","UNITED STATES","N","7/1/2018 12:00:00 AM","6/30/2019 12:00:00 AM","957","Other","2018","101574"," ","NIOSH"," "," "," ","101574",
"No NIH Category available"," ","M.S. Curricular Enhancement","NIOSH","9927533","6/24/2020 12:00:00 AM","PAR-15-352","5T03OH008402-15","5","T03","OH","008402","15"," ","MAPLES, ELIZABETH","7/1/2016 12:00:00 AM","6/30/2021 12:00:00 AM","ZOH1-DYB(03)"," ","14340519","FINDER, BRIAN JAMES","Not Applicable","03","ADMINISTRATION","802853403","US","44.875745","-91.929826","578512","UNIVERSITY OF WISCONSIN STOUT","MENOMONIE","WI","SCH OF BUSINESS/PUBLIC ADMIN","547513568","UNITED STATES","N","7/1/2020 12:00:00 AM","6/30/2021 12:00:00 AM","262","Other","2020","101574"," ","NIOSH"," "," "," ","101574",
"No NIH Category available"," ","M.S. Curricular Enhancement","NIOSH","9189030","8/5/2016 12:00:00 AM","PAR-15-352","2T03OH008402-11","2","T03","OH","008402","11"," ","MAPLES, ELIZABETH","7/1/2016 12:00:00 AM","6/30/2021 12:00:00 AM","ZOH1-DYB(03)"," ","14340519","FINDER, BRIAN JAMES","Not Applicable","03","ADMINISTRATION","802853403","US","44.875745","-91.929826","578512","UNIVERSITY OF WISCONSIN STOUT","MENOMONIE","WI","SCH OF BUSINESS/PUBLIC ADMIN","547513568","UNITED STATES","N","7/1/2016 12:00:00 AM","6/30/2017 12:00:00 AM","262","Other","2016","101594"," ","NIOSH","98911","2683"," ","101594",
"No NIH Category available"," ","M.S. Curricular Enhancement","NIOSH","9327688","6/28/2017 12:00:00 AM","PAR-15-352","5T03OH008402-12","5","T03","OH","008402","12"," ","MAPLES, ELIZABETH","7/1/2016 12:00:00 AM","6/30/2021 12:00:00 AM","ZOH1-DYB(03)"," ","14340519","FINDER, BRIAN JAMES","Not Applicable","03","ADMINISTRATION","802853403","US","44.875745","-91.929826","578512","UNIVERSITY OF WISCONSIN STOUT","MENOMONIE","WI","SCH OF BUSINESS/PUBLIC ADMIN","547513568","UNITED STATES","N","7/1/2017 12:00:00 AM","6/30/2018 12:00:00 AM","262","Other","2017","101594"," ","NIOSH","107095","2683"," ","101594",
"No NIH Category available"," ","M.S. Curricular Enhancement","NIOSH","9732388","5/6/2019 12:00:00 AM","PAR-15-352","5T03OH008402-14","5","T03","OH","008402","14"," "," ","7/1/2016 12:00:00 AM","6/30/2021 12:00:00 AM","ZOH1-DYB(03)"," ","14340519","FINDER, BRIAN JAMES","Not Applicable","03","ADMINISTRATION","802853403","US","44.875745","-91.929826","578512","UNIVERSITY OF WISCONSIN STOUT","MENOMONIE","WI","SCH OF BUSINESS/PUBLIC ADMIN","547513568","UNITED STATES","N","7/1/2019 12:00:00 AM","6/30/2020 12:00:00 AM","262","Other","2019","101574"," ","NIOSH"," "," "," ","101574",
"No NIH Category available"," ","Expanded Occupational Health Surveillance in MA","NIOSH","9501555","6/22/2018 12:00:00 AM","PAR-14-275","5U60OH008490-14","5","U60","OH","008490","14"," "," ","7/1/2015 12:00:00 AM","6/30/2020 12:00:00 AM","ZOH1-GGB(52)"," ","15122731","FIORE, MICHAEL ","Not Applicable","08","Unavailable","878298900","US","42.357812","-71.057848","652402","MASSACHUSETTS STATE DEPT OF PUB HEALTH","BOSTON","MA","Other Domestic Non-Profits","021084603","UNITED STATES","N","7/1/2018 12:00:00 AM","6/30/2019 12:00:00 AM","262","Other","2018","695000"," ","NIOSH"," "," "," ","695000",
"No NIH Category available"," ","Expanded Occupational Health Surveillance in MA","NIOSH","9287781","6/3/2017 12:00:00 AM","PAR-14-275","5U60OH008490-13","5","U60","OH","008490","13"," ","INSERRA, STEVE","5/1/2015 12:00:00 AM","6/30/2020 12:00:00 AM","ZOH1-GGB(52)"," ","15122731","FIORE, MICHAEL ","Not Applicable","08","Unavailable","878298900","US","42.357812","-71.057848","652402","MASSACHUSETTS STATE DEPT OF PUB HEALTH","BOSTON","MA","Other Domestic Non-Profits","021084603","UNITED STATES","N","7/1/2017 12:00:00 AM","6/30/2018 12:00:00 AM","262","Other","2017","695000"," ","NIOSH","638162","56838"," ","695000",
"No NIH Category available"," ","Mechanisms of Vascular Dysfunction in Vibration Injury","NIOSH","7390919","8/3/2007 12:00:00 AM","PA-04-038","7R01OH008531-03","7","R01","OH","008531","03"," ","FREDERICK, LINDA J","9/1/2006 12:00:00 AM","7/31/2010 12:00:00 AM","SOH"," ","1962773","FLAVAHAN, NICHOLAS A","Not Applicable","07","Unavailable","001910777","US","39.329164","-76.617855","4134401","JOHNS HOPKINS UNIVERSITY","BALTIMORE","MD","Domestic Higher Education","212182680","UNITED STATES","N","9/1/2006 12:00:00 AM","7/31/2007 12:00:00 AM","262","Non-SBIR/STTR","2006","253776"," ","NIOSH"," "," "," ","253776",
"No NIH Category available"," ","Reproductive Outcomes in Salon Employees (ROSE)","NIOSH","7293961","2/27/2007 12:00:00 AM","RFA-OH-05-003","7R01OH008579-03","7","R01","OH","008579","03"," ","NEWHALL, JIM","9/8/2006 12:00:00 AM","6/30/2008 12:00:00 AM","ZOH1-BBK(03)"," ","1984651","FLAWS, JODI A","Not Applicable","15","Unavailable","041544081","US","40.094458","-88.238635","577704","UNIVERSITY OF ILLINOIS URBANA-CHAMPAIGN","CHAMPAIGN","IL","Domestic Higher Education","618207406","UNITED STATES","N","9/8/2006 12:00:00 AM","6/30/2007 12:00:00 AM","262","Non-SBIR/STTR","2006","190071"," ","NIOSH"," "," "," ","190071",
"No NIH Category available"," ","Reproductive Outcomes in Salon Employees (ROSE)","NIOSH","7234282","5/25/2007 12:00:00 AM","RFA-OH-05-003","5R01OH008579-04","5","R01","OH","008579","04"," ","KARR, JOAN","9/8/2006 12:00:00 AM","6/30/2009 12:00:00 AM","ZOH1-BBK(03)"," ","1984651","FLAWS, JODI A","Not Applicable","13","Unavailable","041544081","US","40.094458","-88.238635","577704","UNIVERSITY OF ILLINOIS URBANA-CHAMPAIGN","CHAMPAIGN","IL","Domestic Higher Education","618207406","UNITED STATES","N","7/1/2007 12:00:00 AM","6/30/2009 12:00:00 AM","262","Non-SBIR/STTR","2007","203815"," ","NIOSH"," "," "," ","203815",
"No NIH Category available"," ","Surveillance of mortality and Morbidity in US workers","NIOSH","7373225","6/3/2008 12:00:00 AM","PA-04-038","2R01OH003915-06A1","2","R01","OH","003915","06","A","FREDERICK, LINDA J","9/1/2008 12:00:00 AM","8/31/2012 12:00:00 AM","SOH"," ","1885107","FLEMING, LORA ELDERKIN","Not Applicable","27","PUBLIC HEALTH & PREV MEDICINE","052780918","US","25.775337","-80.209809","5221250","UNIVERSITY OF MIAMI SCHOOL OF MEDICINE","CORAL GABLES","FL","SCHOOLS OF MEDICINE","331462926","UNITED STATES","N","9/1/2008 12:00:00 AM","8/31/2009 12:00:00 AM","262","Non-SBIR/STTR","2008","306000"," ","NIOSH"," "," "," ","306000",
"No NIH Category available"," ","Surveillance of mortality and Morbidity in US workers","NIOSH","7633313","6/3/2009 12:00:00 AM","PA-04-038","5R01OH003915-07","5","R01","OH","003915","07"," ","FREDERICK, LINDA J","9/1/2008 12:00:00 AM","8/31/2012 12:00:00 AM","SOH"," ","1885107","FLEMING, LORA ELDERKIN","Not Applicable","27","PUBLIC HEALTH & PREV MEDICINE","052780918","US","25.775337","-80.209809","5221250","UNIVERSITY OF MIAMI SCHOOL OF MEDICINE","CORAL GABLES","FL","SCHOOLS OF MEDICINE","331462926","UNITED STATES","N","9/1/2009 12:00:00 AM","8/31/2010 12:00:00 AM","262","Non-SBIR/STTR","2009","306000"," ","NIOSH"," "," "," ","306000",
"No NIH Category available"," ","Occupational Health and Safety Surveillance and Intervention in New York State","NIOSH","9733824","5/30/2019 12:00:00 AM","PAR-14-275","5U60OH008474-15","5","U60","OH","008474","15"," "," ","7/1/2015 12:00:00 AM","6/30/2020 12:00:00 AM","ZOH1-GGB(52)"," ","15386831","FLETCHER, ALICIA ","Not Applicable","20","Unavailable","620832753","US","42.686129","-73.729346","5966015","CENTER OF ENVIRONMENTAL HEALTH","MENANDS","NY","Other Domestic Non-Profits","122042893","UNITED STATES","N","7/1/2019 12:00:00 AM","6/30/2020 12:00:00 AM","262","Other","2019","504927"," ","NIOSH"," "," "," ","504927",
"No NIH Category available"," ","Occupational Health and Safety Surveillance and Intervention in New York State","NIOSH","10186443","6/3/2020 12:00:00 AM","PAR-14-275","6U60OH008474-15M002","6","U60","OH","008474","15","M00"," ","7/1/2015 12:00:00 AM","6/30/2021 12:00:00 AM","ZOH1-GGB(52)"," ","15386831","FLETCHER, ALICIA ","Not Applicable","20","Unavailable","620832753","US","42.686129","-73.729346","5966015","CENTER OF ENVIRONMENTAL HEALTH","MENANDS","NY","Other Domestic Non-Profits","122042893","UNITED STATES","N","7/1/2019 12:00:00 AM","6/30/2021 12:00:00 AM","262","Other","2019","504927"," ","NIOSH"," "," "," ","504927",
"No NIH Category available"," ","World Trade Center Health Program Outreach and Education Plan ","NIOSH","8508443","9/21/2012 12:00:00 AM","RFA-OH-12-1201","1E11OH010451-01","1","E11","OH","010451","01"," ","KUBALE, TRAVIS","9/1/2012 12:00:00 AM","8/31/2014 12:00:00 AM","ZOH1-NXT(50)"," ","11496798","FLYNN, KIMBERLY ","Not Applicable","11","Unavailable","023943641","US"," "," ","10032063","9/11 ENVIRONMENTAL ACTION, INC.","BROOKLYN","NY","Other Domestic Non-Profits","112092202","UNITED STATES","N","9/1/2012 12:00:00 AM","8/31/2013 12:00:00 AM","262","Other","2012","277485"," ","NIOSH","277485"," "," ","277485",
"No NIH Category available"," ","World Trade Center Health Program Outreach and Education Plan ","NIOSH","8549784","7/31/2013 12:00:00 AM","RFA-OH-12-1201","5E11OH010451-02","5","E11","OH","010451","02"," ","KUBALE, TRAVIS","9/1/2012 12:00:00 AM","2/28/2015 12:00:00 AM","ZOH1-NXT(50)"," ","11496798","FLYNN, KIMBERLY ","Not Applicable","11","Unavailable","023943641","US"," "," ","10032063","9/11 ENVIRONMENTAL ACTION, INC.","BROOKLYN","NY","Other Domestic Non-Profits","112092202","UNITED STATES","N","9/1/2013 12:00:00 AM","2/28/2015 12:00:00 AM","262","Other","2013","259385"," ","NIOSH","384889"," "," ","259385",
"No NIH Category available"," ","Illinois Occupational Surveillance Program 2","NIOSH","9477959","6/25/2018 12:00:00 AM","PAR-14-275","5U60OH010905-04","5","U60","OH","010905","04"," "," ","7/1/2015 12:00:00 AM","6/30/2020 12:00:00 AM","ZOH1-GGB(52)"," ","1966145","FORST, LINDA S","Not Applicable","07","PUBLIC HEALTH & PREV MEDICINE","098987217","US","41.880316","-87.687597","577703","UNIVERSITY OF ILLINOIS AT CHICAGO","Chicago","IL","SCHOOLS OF PUBLIC HEALTH","606124305","UNITED STATES","N","7/1/2018 12:00:00 AM","6/30/2019 12:00:00 AM","262","Other","2018","159999"," ","NIOSH"," "," "," ","159999",
"No NIH Category available"," ","More than Training: Workers' Rights Centers Empowering Hazard Awareness/ Response","NIOSH","7683137","7/28/2009 12:00:00 AM","RFA-CD-08-001","5R18OH009574-02","5","R18","OH","009574","02"," ","INSERRA, STEVE","9/1/2008 12:00:00 AM","8/31/2011 12:00:00 AM","ZOH1-EEO(50)R"," ","1966145","FORST, LINDA S","Not Applicable","07","Unavailable","098987217","US","41.880316","-87.687597","577703","UNIVERSITY OF ILLINOIS AT CHICAGO","Chicago","IL","Domestic Higher Education","606124305","UNITED STATES","N","9/1/2009 12:00:00 AM","8/31/2010 12:00:00 AM","262","Other Research-Related","2009","444181"," ","ODCDC"," "," "," ","444181",
"No NIH Category available"," ","Illinois Occupational Surveillance Program","NIOSH","8264706","6/8/2011 12:00:00 AM","PAR-09-184","5U60OH009850-02","5","U60","OH","009850","02"," ","INSERRA, STEVE","7/1/2010 12:00:00 AM","6/30/2015 12:00:00 AM","ZOH1-BSI(50)R"," ","1966145","FORST, LINDA S","Not Applicable","07","PUBLIC HEALTH & PREV MEDICINE","098987217","US","41.880316","-87.687597","577703","UNIVERSITY OF ILLINOIS AT CHICAGO","Chicago","IL","SCHOOLS OF PUBLIC HEALTH","606124305","UNITED STATES","N","7/1/2011 12:00:00 AM","6/30/2012 12:00:00 AM","262","Other","2011","115200"," ","NIOSH"," "," "," ","115200",
"No NIH Category available"," ","Illinois Occupational Surveillance Program","NIOSH","8688821","6/6/2014 12:00:00 AM","PAR-09-184","5U60OH009850-05","5","U60","OH","009850","05"," ","INSERRA, STEVE","7/1/2010 12:00:00 AM","6/30/2015 12:00:00 AM","ZOH1-BSI(50)R"," ","1966145","FORST, LINDA S","Not Applicable","07","PUBLIC HEALTH & PREV MEDICINE","098987217","US","41.880316","-87.687597","577703","UNIVERSITY OF ILLINOIS AT CHICAGO","Chicago","IL","SCHOOLS OF PUBLIC HEALTH","606124305","UNITED STATES","N","7/1/2014 12:00:00 AM","6/30/2015 12:00:00 AM","262","Other","2014","120000"," ","NIOSH","110224","26734"," ","120000",
"No NIH Category available"," ","More than Training: Workers' Rights Centers Empowering Hazard Awareness/ Response","NIOSH","7903218","7/8/2010 12:00:00 AM","RFA-CD-08-001","5R18OH009574-03","5","R18","OH","009574","03"," ","INSERRA, STEVE","9/1/2008 12:00:00 AM","8/31/2012 12:00:00 AM","ZOH1-EEO(50)R"," ","1966145","FORST, LINDA S","Not Applicable","07","Unavailable","098987217","US","41.880316","-87.687597","577703","UNIVERSITY OF ILLINOIS AT CHICAGO","Chicago","IL","Domestic Higher Education","606124305","UNITED STATES","N","9/1/2010 12:00:00 AM","8/31/2012 12:00:00 AM","262","Other Research-Related","2010","449778"," ","ODCDC"," "," "," ","449778",
"No NIH Category available"," ","Illinois Occupational Surveillance Program","NIOSH","8508715","6/24/2013 12:00:00 AM","PAR-09-184","5U60OH009850-04","5","U60","OH","009850","04"," ","INSERRA, STEVE","7/1/2010 12:00:00 AM","6/30/2015 12:00:00 AM","ZOH1-BSI(50)R"," ","1966145","FORST, LINDA S","Not Applicable","07","PUBLIC HEALTH & PREV MEDICINE","098987217","US","41.880316","-87.687597","577703","UNIVERSITY OF ILLINOIS AT CHICAGO","Chicago","IL","SCHOOLS OF PUBLIC HEALTH","606124305","UNITED STATES","N","7/1/2013 12:00:00 AM","6/30/2014 12:00:00 AM","262","Other","2013","120000"," ","NIOSH","97912","23622"," ","120000",
"No NIH Category available"," ","Illinois Occupational Surveillance Program 2","NIOSH","8927809","9/2/2015 12:00:00 AM","PAR-14-275","1U60OH010905-01","1","U60","OH","010905","01"," ","INSERRA, STEVE","7/1/2015 12:00:00 AM","6/30/2020 12:00:00 AM","ZOH1-GGB(52)"," ","1966145","FORST, LINDA S","Not Applicable","07","PUBLIC HEALTH & PREV MEDICINE","098987217","US","41.880316","-87.687597","577703","UNIVERSITY OF ILLINOIS AT CHICAGO","Chicago","IL","SCHOOLS OF PUBLIC HEALTH","606124305","UNITED STATES","N","7/1/2015 12:00:00 AM","6/30/2016 12:00:00 AM","262","Other","2015","159999"," ","NIOSH","129008","30991"," ","159999",
